BHK,Size,Bathroom,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Area Locality Encoded,Rent_Scaled
0.2,0.13642052565707133,0.1111111111111111,False,True,False,False,False,True,False,False,True,True,False,0.027777777777777776,0.0025151480507602606
0.2,0.09887359198998748,0.0,False,True,False,False,False,True,False,True,False,True,False,0.027777777777777776,0.005373270835715102
0.2,0.12390488110137672,0.0,False,True,False,False,False,True,False,True,False,True,False,0.41666666666666663,0.004515834000228649
0.2,0.09887359198998748,0.0,False,True,False,False,False,True,False,False,True,True,False,0.027777777777777776,0.0025151480507602606
0.2,0.10513141426783477,0.0,True,False,False,False,False,True,False,False,True,False,False,0.0,0.00180061735452155
0.2,0.07384230287859823,0.1111111111111111,False,True,False,False,False,True,False,False,True,True,False,0.16666666666666663,0.0016577112152738082
0.2,0.08635794743429286,0.1111111111111111,False,True,False,False,False,True,False,False,True,False,False,0.027777777777777776,0.0025151480507602606
0.0,0.030037546933667086,0.0,False,True,False,False,False,True,False,False,True,False,False,0.027777777777777776,0.0010860866582828397
0.2,0.09887359198998748,0.1111111111111111,True,False,False,False,False,True,False,False,True,False,False,0.0,0.007088144506688007
0.2,0.12390488110137672,0.1111111111111111,True,False,False,False,False,True,False,True,False,True,False,0.0,0.0025151480507602606
0.4000000000000001,0.14893617021276595,0.1111111111111111,True,False,False,False,False,True,False,True,False,True,False,0.027777777777777776,0.0068023322281925225
0.0,0.04881101376720901,0.0,True,False,False,False,False,True,False,False,True,True,False,0.16666666666666663,0.0010860866582828397
0.0,0.030037546933667086,0.0,True,False,False,False,False,True,False,False,False,False,False,0.0,0.001514805076026066
0.0,0.045682102628285357,0.0,True,False,False,False,False,True,False,False,True,True,False,0.16666666666666663,0.0012289927975305819
0.4000000000000001,0.11138923654568209,0.1111111111111111,True,False,False,False,False,True,False,False,True,False,False,0.0,0.0020864296330170345
0.4000000000000001,0.15969962453066333,0.1111111111111111,True,False,False,False,False,True,False,False,False,True,False,0.0,0.011089516405624784
0.2,0.07384230287859823,0.0,False,True,False,False,False,True,False,True,False,True,False,0.11111111111111112,0.0013718989367783238
0.2,0.09887359198998748,0.0,False,True,False,False,False,True,False,False,True,True,False,0.36111111111111105,0.0025151480507602606
0.2,0.24906132665832292,0.0,True,False,False,False,False,True,False,False,True,True,False,0.05555555555555555,0.002800960329255745
0.2,0.08135168961201501,0.0,False,True,False,False,False,True,False,False,True,True,False,0.36111111111111105,0.0013718989367783238
0.2,0.08010012515644555,0.0,True,False,False,False,False,True,False,False,True,False,True,0.19444444444444442,0.0019149422659197437
0.2,0.04881101376720901,0.1111111111111111,True,False,False,False,False,True,False,False,True,False,False,0.16666666666666663,0.0022293357722647767
0.0,0.03629536921151439,0.0,True,False,False,False,False,True,False,False,True,True,False,0.16666666666666663,0.0008002743797873556
0.4000000000000001,0.19899874843554444,0.0,False,True,False,False,False,True,False,False,True,True,False,0.05555555555555555,0.001514805076026066
0.0,0.04881101376720901,0.0,False,True,False,False,False,True,False,True,False,False,False,0.027777777777777776,0.0019435234937692921
0.2,0.12390488110137672,0.0,False,True,False,False,False,True,False,False,True,True,False,0.027777777777777776,0.0016577112152738082
0.0,0.04317897371714643,0.0,True,False,False,False,False,True,False,True,False,True,False,0.19444444444444442,0.001171830341831485
0.2,0.12390488110137672,0.0,False,True,False,False,False,True,False,True,False,True,False,0.0,0.0013718989367783238
0.2,0.09887359198998748,0.0,False,True,False,False,False,True,False,False,True,True,False,0.1388888888888889,0.0020864296330170345
0.2,0.10513141426783477,0.1111111111111111,False,True,False,False,False,True,False,False,True,True,False,0.0,0.003229678746998971
0.0,0.0425531914893617,0.0,True,False,False,False,False,True,False,False,True,True,False,0.2222222222222222,0.00180061735452155
0.2,0.11138923654568209,0.1111111111111111,True,False,False,False,False,True,False,False,True,True,False,0.0,0.003944209443237681
0.2,0.06758448060075092,0.0,False,True,False,False,False,True,False,True,False,True,False,0.027777777777777776,0.0013718989367783238
0.2,0.061326658322903634,0.1111111111111111,True,False,False,False,False,True,False,False,True,True,False,0.08333333333333333,0.0010860866582828397
0.4000000000000001,0.13642052565707133,0.0,True,False,False,False,False,True,False,False,True,True,False,0.027777777777777776,0.00594489539270607
0.2,0.10513141426783477,0.0,True,False,False,False,False,True,False,True,False,True,False,0.027777777777777776,0.003944209443237681
0.2,0.09887359198998748,0.0,True,False,False,False,False,True,False,False,True,False,False,0.08333333333333333,0.003229678746998971
0.2,0.07759699624530662,0.0,True,False,False,False,False,True,False,False,True,False,False,0.19444444444444442,0.0016577112152738082
0.2,0.11138923654568209,0.1111111111111111,True,False,False,False,False,True,False,True,False,False,False,0.19444444444444442,0.005659083114210586
0.0,0.03254067584480601,0.0,True,False,False,False,False,True,False,True,False,True,False,0.027777777777777776,0.0025151480507602606
0.2,0.07759699624530662,0.0,True,False,False,False,False,True,False,True,False,True,False,0.19444444444444442,0.0017148736709729046
0.4000000000000001,0.18648310387984982,0.1111111111111111,True,False,False,False,False,True,False,False,False,False,False,0.0,0.003086772607751229
0.0,0.07384230287859823,0.0,False,True,False,False,False,True,False,False,True,True,False,0.36111111111111105,0.0010860866582828397
0.2,0.08635794743429286,0.0,True,False,False,False,False,True,False,True,False,True,False,0.08333333333333333,0.0020864296330170345
0.0,0.03629536921151439,0.0,False,True,False,False,False,True,False,True,False,True,False,0.08333333333333333,0.0013718989367783238
